countyFIPS,unemp,#ICU_beds,#Hospitals,#EligibleforMedicare2018
13129,3.6,8,1,10976.0
13131,3.4,4,1,5475.0
13139,2.8,85,1,37379.0
13157,2.7,0,1,13307.0
13169,3.3,0,0,6039.0
13175,5.1,16,1,11143.0
13187,3.1,0,0,6741.0
13197,4.4,0,0,1686.0
13201,3.4,0,1,1407.0
13217,3.9,10,1,19446.0
13225,3.8,0,1,5827.0
13233,3.7,0,1,9182.0
13243,4.8,0,1,1724.0
13253,4.3,0,1,2414.0
13265,7.2,0,0,498.0
13277,3.4,20,1,8030.0
13285,3.2,20,1,13450.0
13293,4.0,28,1,6804.0
13303,4.7,0,1,4654.0
20027,3.1,0,1,2089.0
20029,2.9,0,1,2348.0
20039,3.3,0,1,878.0
20049,3.0,0,0,863.0
20065,2.6,0,1,785.0
20075,1.7,0,1,445.0
20085,3.3,0,1,3152.0
20095,3.2,0,1,1922.0
20105,2.3,0,1,854.0
20115,2.6,0,2,3186.0
20127,3.2,0,1,1516.0
20135,2.6,0,2,811.0
20145,3.3,0,1,1535.0
20155,3.3,20,2,14695.0
20163,3.2,0,1,1329.0
20173,4.0,236,6,89941.0
20185,3.0,0,1,1028.0
20195,3.2,0,1,806.0
20203,1.8,0,1,477.0
20205,4.6,0,2,2456.0
21183,5.9,4,1,5859.0
21187,4.3,0,0,2557.0
21189,7.3,0,0,1218.0
21199,4.7,38,1,17412.0
21209,3.3,6,1,8581.0
21219,4.2,0,0,2537.0
21229,3.7,0,0,2833.0
22001,4.6,4,2,11783.0
22013,5.8,0,1,3587.0
22033,3.7,124,7,77079.0
22053,4.3,5,1,6171.0
22073,4.9,88,4,29540.0
22077,4.5,0,1,5041.0
22089,3.7,8,1,9228.0
22105,4.7,64,4,24034.0
22115,6.1,7,1,7887.0
21003,3.9,0,1,4700.0
21009,4.7,10,1,10368.0
21017,4.0,4,1,4724.0
21025,10.3,4,1,3660.0
21031,5.2,0,0,3078.0
21043,8.8,0,0,6933.0
21053,5.8,0,1,2594.0
21063,10.9,0,0,1684.0
21077,4.0,0,0,1325.0
21087,4.3,0,1,2986.0
21099,6.3,0,1,4287.0
21103,3.6,0,0,3759.0
21115,7.3,6,1,6285.0
21121,5.5,4,1,8291.0
21137,5.1,0,1,6268.0
21143,4.6,0,0,2498.0
21151,3.7,12,2,17093.0
21157,5.1,4,1,8877.0
21169,5.1,0,0,2681.0
21175,6.6,0,1,3109.0
19045,4.1,10,2,11016.0
19047,4.8,0,1,3490.0
19055,3.0,0,1,3730.0
19063,3.0,0,1,2357.0
19067,4.5,0,1,4039.0
19079,3.1,0,1,3540.0
19087,3.3,0,1,4581.0
19095,2.9,0,1,3697.0
19105,4.6,0,1,4727.0
19113,3.3,44,2,42142.0
19121,4.5,0,1,3336.0
19125,2.4,3,2,7302.0
19137,2.8,8,1,2821.0
19141,2.4,0,2,3434.0
19151,2.2,0,1,1914.0
19161,3.1,0,1,2631.0
19169,1.7,14,2,13817.0
19175,3.8,4,1,3076.0
19181,3.0,0,0,9497.0
19195,3.5,0,0,1808.0
20005,5.6,4,1,3272.0
20015,3.4,16,2,12506.0
27073,5.6,0,2,1937.0
27083,3.8,0,2,5049.0
27085,4.7,6,2,7899.0
27093,5.2,0,1,5407.0
27103,2.6,0,1,6380.0
27113,6.9,0,1,3031.0
27121,3.7,0,1,2969.0
27127,4.3,0,1,3708.0
27147,3.5,0,1,7748.0
27153,5.4,3,2,5987.0
27161,5.1,0,1,4315.0
28003,4.5,24,1,9356.0
28013,5.6,0,1,3727.0
28017,5.1,0,1,4321.0
28029,6.0,0,1,6431.0
28037,6.2,0,1,1990.0
28049,4.8,218,5,44024.0
28061,7.2,0,1,4182.0
28065,6.6,0,1,2768.0
28075,4.9,51,4,15764.0
22121,3.8,0,0,4580.0
22127,6.0,5,1,3196.0
23009,6.7,6,3,15806.0
23029,7.7,0,2,9850.0
24001,5.4,15,1,17398.0
24003,3.0,53,2,98260.0
24009,3.0,4,1,16373.0
24017,3.5,10,1,24448.0
24019,5.0,0,0,8264.0
24029,4.9,6,1,6105.0
24035,3.3,0,0,10430.0
24037,3.3,12,1,17149.0
24039,6.1,0,1,5203.0
24041,3.9,16,1,11722.0
25011,3.1,6,1,18895.0
26009,5.6,0,0,7798.0
26015,3.1,0,1,13825.0
26023,3.3,10,1,10078.0
26035,6.5,0,1,9931.0
26037,2.5,2,1,15293.0
26045,2.9,0,2,24806.0
26057,3.9,0,1,9113.0
26061,4.3,5,2,7858.0
26073,3.6,8,1,11325.0
26077,2.7,34,2,50030.0
26083,5.4,0,0,829.0
26085,6.0,0,0,4182.0
26091,3.4,0,2,23440.0
26097,17.9,0,1,3714.0
26103,4.7,30,2,15556.0
26107,4.7,4,1,9972.0
26111,3.7,26,1,18735.0
26117,3.7,12,4,14980.0
26123,4.1,9,1,12440.0
26133,3.8,4,1,6568.0
26143,8.3,0,0,10249.0
26155,3.7,7,1,16541.0
26161,2.2,92,4,60961.0
26165,4.6,6,1,8610.0
27009,5.1,0,0,7723.0
27019,2.8,25,1,14406.0
27029,11.3,0,1,2155.0
27039,4.2,0,0,3600.0
27051,5.9,0,1,1743.0
27057,6.9,0,1,6197.0
27067,4.5,8,1,10233.0
29097,3.1,88,3,24501.0
29103,4.9,0,0,1037.0
29109,4.2,0,1,9353.0
29117,3.1,0,1,3607.0
29131,5.6,0,0,5882.0
29137,4.9,0,0,2382.0
29151,2.5,0,0,2756.0
29159,6.1,9,1,9104.0
29169,4.0,0,0,6738.0
29179,4.3,0,0,2071.0
29195,4.1,7,2,5090.0
29205,4.5,0,0,1573.0
29211,4.7,0,1,1587.0
29221,6.1,0,1,5615.0
29229,5.3,0,0,5176.0
30013,3.8,20,2,18449.0
30037,4.9,0,0,325.0
30043,4.0,0,0,3144.0
31121,2.9,0,1,1931.0
31125,2.8,0,0,789.0
31135,2.0,0,1,745.0
31137,2.3,0,1,2161.0
31147,3.0,0,1,2257.0
31159,2.8,0,1,3536.0
31163,3.3,0,0,870.0
31171,4.8,0,0,202.0
31183,2.1,0,0,186.0
32009,3.9,0,0,287.0
32021,4.0,0,1,1400.0
32033,3.3,0,1,1972.0
34007,4.6,199,4,100269.0
34015,4.3,14,1,57350.0
